,success_rate,makespan,time_cost,waiting_time,travel_dist,efficiency,priority
0,1.0,17.04865662110853,6.215610127224746,2.070612274601009,22.364833916522546,2.466666666666667,0.0
1,1.0,22.933970302143695,10.13772987040031,5.842207463860948,22.17776516492342,1.9016666666666666,0.0
2,1.0,19.546596012687242,8.118598958131644,1.8539963102910384,25.540806420580967,2.2583333333333333,0.0
3,1.0,16.120063785716457,4.511141170920533,0.8743027561778866,16.729767922123052,2.725,0.0
4,1.0,17.26917383434794,7.036277473585558,2.2174743864296187,19.50883670809234,2.6333333333333333,0.0
5,1.0,20.052953972525962,6.410728910137578,2.515021220898224,24.582849970853548,2.1875,0.0
6,1.0,19.483845690098217,6.657842153317797,2.9798212182304598,22.272628832057187,2.45,0.0
7,1.0,22.665645116869296,8.287418781064442,2.4734949827387878,25.637007553186407,2.3491666666666666,0.0
8,1.0,25.380219017790793,11.17801095524781,7.009057500993666,17.177350208223285,2.5166666666666666,0.0
9,1.0,20.50801183114479,7.866672933355912,1.5188979769513635,22.65329931387625,2.025,0.0
